smiles	idnumber
COC1CCCCN(CC(=O)Nc2cnn(C3CCCC3)c2C)C1=O	Z2403558063
CCOc1ccc(CC(=O)N2CCc3ccccc3C2C(=O)O)cc1	Z1444700129
Cc1cnc(C(=O)NC[C@@H]2CCCO[C@H]2c2ccnn2C)cn1	Z2385330310
COc1cc(C)ccc1OCCC(=O)N1CC[C@H](N)C1	Z2242924943
Cn1cc(CC2CCN(C(=O)Cc3ccc(-n4cnnn4)cc3)C2)cn1	Z1318850690
CO[C@@H]1CN(C(=O)c2cc3cccc(C)c3o2)C[C@H]1c1cn(C)nn1	Z2391071290
Cn1ccnc1[C@H]1[C@H](NC(=O)c2cnc[nH]2)CCC(=O)N1C1CC1	Z2394443666
CN1C(=O)CC[C@@H](NC(=O)Cn2cc(Cl)cn2)[C@@H]1c1nccn1C	Z2390744258
OCCCCCN1CCC(Cc2ccccc2)CC1	Z978726146
O=C(CN1CCCCC(O)C1=O)N1CCc2cccc(Cl)c2C1	Z2404595795
CCn1cc(C2CS(=O)(=O)CCN2C(=O)c2ccc(C#N)cc2C)cn1	Z1757457397
Cc1noc(C2CN(C(=O)NCc3cn(C)nc3C(F)(F)F)CCN2C)n1	Z2061479215
Cn1cnc(C(=O)NC[C@@H]2CCCO[C@H]2c2ccnn2C)c1	Z2385445406
CCn1cc(C(=O)NC(C)CO)c(C2CCOCC2)n1	Z2399042864
COCC1(C(=O)O)CCCN1C(=O)c1cc(C)c(F)cc1F	Z2386671724
CO[C@@H]1CN(C(=O)c2cc3cc(C)c(C)cc3o2)C[C@H]1c1cn(C)nn1	Z2391075649
CCc1nnc2ccc(N3C[C@@H](O)[C@H](Oc4cnn(CC)c4)C3)nn12	Z2383675398
CNC(=O)CC1(O)CCCN(Cc2cnc(C3CC3)nc2)C1	Z2383843522
CC(=O)Nc1c[nH]nc1C1CCCN(C(=O)c2coc3ccccc23)C1	Z1625846311
CCn1ccnc1CN(C(=O)Cn1cn[nH]c1=O)C1CC12CCNCC2	Z2451397116
Cn1ccnc1[C@@H]1[C@@H](C(=O)NCCc2ccc[nH]2)CCC(=O)N1C1CC1	Z2402675895
Cn1ccnc1[C@@H]1[C@@H](C(=O)NCC(F)(F)CO)CCC(=O)N1C1CC1	Z2403134618
CO[C@H]1C[C@H](c2nc(C)no2)N(C(=O)c2cccc(F)c2C#N)C1	Z1754258613
O=C(N[C@H]1C[C@@H](O)[C@@H]1n1cccn1)c1conc1C1CC1	Z2397099400
CCc1ncc(CNC(=O)[C@H]2CC(=O)N(CC)[C@@H]2c2cnn(C)c2C)o1	Z2404260638
COCC1(C(N)=O)CCCN1Cc1ccc(OC)nc1	Z2384004436
CC(C)(C#N)c1ccccc1CN1CCCC(O)(Cn2ccnn2)C1	Z2053383429
COc1cccc(CN2C[C@@H](OC)C[C@H]2C(N)=O)c1F	Z2053343191
Cc1ccc2[nH]c(C3CCCN3C(=O)c3nc(C)c(C)nc3C)nc2c1	Z1697140748
Cc1noc([C@H]2CN(C(=O)c3ccc4nnn(C)c4c3)C[C@@H](C)O2)n1	Z2386305246
Cc1cn2nc(NC3CCN(C(=O)c4nccnc4N)C3)ccc2n1	Z1761226425
CC(=O)Nc1c[nH]nc1C1CCCN(c2cccc(C#N)n2)C1	Z1626132474
Cc1n[nH]c(C)c1C1COCCN1C(=O)c1ccc2c(c1)OCCO2	Z1553131242
O=C(N[C@H]1C[C@@H](O)[C@@H]1n1cccn1)c1cc2n(n1)CCC2	Z2397096625
CCN1C(=O)C[C@H](C(=O)NCc2cnnn2C)[C@H]1c1cnn(C)c1C	Z2141731825
Cc1cc(N2CCC(NC(=O)c3cc[nH]c3C)C2=O)n(C)n1	Z1348636907
Cc1occc1C(=O)N(CCC(=O)O)C1CCOCC1	Z1444688059
O=C(c1cccs1)N1CC(O)CC1c1ccccc1C(F)(F)F	Z1943934233
Cc1c[nH]cc1C(=O)NC[C@H]1CCC(=O)N(C2CC2)[C@@H]1c1nccn1C	Z2382531118
Cc1noc([C@H]2CN(C(=O)c3ccc4[nH]cnc4c3)C[C@@H](C)O2)n1	Z2386325002
Cn1cc([C@@H]2OCC[C@H]2CNc2nc3c(cc2C#N)CCCC3)cn1	Z2348261874
Cc1cnn(CCNC(=O)[C@@H]2CCCO[C@H]2c2nccn2C)c1	Z2401284506
Cc1noc(C)c1COC1CCN(C(=O)c2cc(C#N)c[nH]2)C1	Z1686869073
Cc1noc(C)c1CCC(=O)N[C@H]1C[C@@H](O)[C@@H]1n1cccn1	Z2397117853
CCN1C(=O)CC[C@H](C(=O)NCCc2ccon2)[C@H]1c1ccnn1C	Z2402514008
Cc1nc(-c2cnn(C)c2)sc1C(=O)N1CCCNCC1	Z2373906064
Cc1cc(C(=O)N2CCO[C@H](C)[C@H]2c2nc(C3CC3)no2)[nH]n1	Z2061180579
COc1cc(Cl)c(CN2C[C@@H](OC)C[C@H]2C(N)=O)cc1Cl	Z2053341453
Cn1cnc(C(=O)NC[C@H]2CCC(=O)N(C3CC3)[C@@H]2c2nccn2C)c1	Z2382538430
Cc1noc([C@H]2CN(Cc3cnc(C4CC4)nc3)C[C@@H](C)O2)n1	Z2382496890
CCn1ccc(CNC(=O)[C@@H]2CCCO[C@H]2c2nccn2C)n1	Z2404611880
Cc1c([C@H]2OCC[C@@H]2NC(=O)c2ccc(F)cc2Cl)cnn1C	Z1753314141
Cc1noc(C)c1C(=O)N[C@H]1C[C@@H](O)[C@@H]1n1cccn1	Z2397122145
O=C(N[C@H]1C[C@@H](O)[C@@H]1n1cccn1)c1cnn2cccnc12	Z2397115987
CCN1C(=O)CC[C@H](C(=O)NCc2cnn(C)c2C)[C@H]1c1ccnn1C	Z2402446346
O=C(O)CCCNC(=O)c1cccc(N2CCCC2=O)c1	Z224132150
COc1cccc(CNC(=O)N2CCCN(c3nccs3)CC2)n1	Z964284436
CCc1c(C(=O)N2CCCC(CNC)C2)cnn1Cc1ccccc1.Cl	Z1455708635
Cc1cc(C)c2c(c1)CN(C(=O)C1Cn3c(C)nnc3CN1C)CC2	Z2403099158
O=C(Cc1ccc(=O)[nH]c1)N1CCC(c2nc(-c3ccccn3)no2)(C(F)(F)F)C1	Z2608766467
CNc1nc(C)cc(C(=O)NC[C@@H]2C[C@H](F)CN2c2cccnn2)n1	Z2123741438
COc1cc(F)cc(CNC(=O)[C@@H]2CCCO[C@H]2c2nccn2C)c1	Z2402587863
Cc1noc(C)c1CC(=O)N[C@H]1C[C@@H](O)[C@@H]1n1cccn1	Z2397119817
CC1CC(N)CCN1S(=O)(=O)c1ccc(Cl)c(C(F)(F)F)c1	Z2242866262
CCN1C(=O)C[C@H](C(=O)NCc2cnc(C)o2)[C@H]1c1cnn(C)c1C	Z2404352836
O=C(O)CCN(C(=O)c1cc(Cl)c[nH]1)C1CCOCC1	Z1603406936
Cn1ccnc(NC(=O)N2CCCC2c2cccc3ccccc23)c1=O	Z1672045209
Cl.N#Cc1ccc(S(=O)(=O)NCC2CCCCN2)c(F)c1	Z1491260527
Cc1nnc2n1CC(C(=O)N1CCC=C(F)C1)N(C)C2	Z2402570750
CCn1ccnc(N2CCCC(O)(Cc3nc(C)no3)C2)c1=O	Z2383108189
CC(=O)Nc1c[nH]nc1C1CCCN(c2cc(=O)n3ccccc3n2)C1	Z1716303203
Cc1cc(N2CCC(NC(=O)c3ccc[nH]3)C2=O)n(C)n1	Z1275125069
CC(=O)Nc1c[nH]nc1C1CCCN(C(=O)c2ccc3nccn3c2)C1	Z1625844543
CC(C)(O)C(=O)NC1CC(=O)N(CCN2CCOCC2)C1	Z1862523094
Cc1c([C@H]2CNC[C@@H]2C(=O)N2Cc3ccccc3C2)cnn1C	Z2382439399
Cl.O=S(=O)(NCC1CCCCN1)c1ccc(F)cc1Cl	Z1491260991
CO[C@H]1C[C@@H](C(N)=O)N(Cc2cc(Cl)ccc2F)C1	Z2053341406
Cn1cc(-c2nc(C(=O)N3CCCC[C@@H]3C(=O)O)cs2)cn1	Z1624103690
Cn1ccnc1[C@@H]1[C@@H](CNC(=O)c2cnc[nH]2)CCC(=O)N1C1CC1	Z2382533880
COc1ccc(C(=O)N2CCC(Nc3ccc4nc(C)cn4n3)C2)nn1	Z1761235442
COc1cccnc1CNC(=O)[C@@H]1CCCO[C@H]1c1cnn(C)c1	Z2404291275
CN1C(=O)C[C@@H](CNc2cccc(C#N)n2)[C@@H]1c1ccccc1	Z1958548049
COCC1(C(N)=O)CCCN1C(=O)c1ccc(-c2cnco2)cc1	Z2389037882
NS(=O)(=O)C1CCCN(C(=O)c2cccc3ncccc23)C1	Z1280351704
CCN1C(=O)C[C@H](C(=O)NCc2cc(C)no2)[C@H]1c1cnn(C)c1C	Z2053882348
C[C@H]1OCCN(C(=O)c2[nH]nc3c2CCCC3)[C@@H]1c1nc(C2CC2)no1	Z2061182244
CN1CCC[C@@H](CNC(=O)c2cc(Cl)c[nH]2)[C@@H]1c1cncn1C	Z2055637414
CN(CCCC(=O)O)Cc1ccccc1N1CCCC1	Z1218103219
O=C(Cn1cn[nH]c1=O)N1CCC(c2nc(-c3ccccn3)no2)(C(F)(F)F)C1	Z2608766782
Cc1ccc(CCNC(=O)[C@@H]2CCCO[C@H]2c2nccn2C)nc1	Z2404559436
Cc1cccc(CCNC(=O)[C@@H]2CCCO[C@H]2c2nccn2C)n1	Z2403754034
Cn1ccc(N2CCCC(NC(=O)c3cccc(CO)c3)C2=O)n1	Z2196951386
O=C(N[C@H]1C[C@@H](O)[C@@H]1n1cccn1)c1cncnc1C1CC1	Z2397095794
COCC1(C(N)=O)CCCN1C(=O)c1ncccc1C(F)(F)F	Z2389025505
Cc1c([C@@H]2[C@@H](C(=O)NCCc3ccon3)CC(=O)N2C2CC2)cnn1C	Z2060991489
CCc1nnc(C)cc1C(=O)N1CCO[C@H](C)[C@H]1c1nc(C2CC2)no1	Z2063306516
CO[C@H]1C[C@@H](C(N)=O)N(Cc2c(F)cccc2Cl)C1	Z2053343455
Cc1cccnc1CN1CCO[C@H](C)[C@H]1C(N)=O	Z2054763635
Cc1n[nH]c(C)c1CCC(=O)NC[C@@H]1CCCN(C)[C@H]1c1ccnn1C	Z2062245459
CN1CCC[C@@H](CNC(=O)c2n[nH]c3c2CCC3)[C@@H]1c1ccnn1C	Z2055557731
CCn1ccnc1[C@H]1OCC[C@@H]1NC(=O)c1cccc2oc(C)nc12	Z1942729795
Cn1nccc1[C@H]1[C@H](NCc2noc(C(C)(C)C)n2)CC(=O)N1C1CC1	Z2058954380
Cc1c(C(=O)NCC2CCCCC2)nnn1-c1cccc2c1CCN(Cc1ccccn1)C2	Z1170370504
Cc1ccc(N2CCCC(NCc3ccc(C(N)=O)cc3)C2)nn1	Z1139247110
Cc1ccc(SCCNC(=O)c2ccc(-n3cncn3)c([N+](=O)[O-])c2)cc1	Z90772719
CCn1nnc2cc(C(=O)N3CCCC(c4noc(C)n4)C3)ccc21	Z1079893494
Cn1cc(CN2CCCN(C(=O)c3cc(C(N)=O)cs3)CC2)cn1	Z1139286699
O=S(=O)(CCCN1CCCC(c2ccn[nH]2)C1)c1ccccc1	Z751715102
C[C@H]1OCCN(Cc2ccnn2C)[C@@H]1C(N)=O	Z2054762407
Cc1ccc(Cl)c(S(=O)(=O)N2CCO[C@H](C)[C@H]2C(N)=O)c1	Z2052055103
Cc1ccc(-c2cc(C(=O)N3C[C@H]4[C@@H](C3)OCCN4C)n[nH]2)c(C)c1	Z2168028969
CC(C)c1cc(C(=O)NC[C@@H]2CCCN(C)[C@H]2c2ccnn2C)nn1C	Z2062254567
NC(=O)C1(CNC(=O)c2ccc(Cl)s2)CCOCC1	Z647912878
COc1ccccc1Cc1nnc(-c2cnc3onc(-c4ccccc4)c3c2)o1	Z1165365116
CCOCC(O)CN1CCN(C(=O)c2ccc(N(C)C)nc2)CC1	Z1143014512
Cc1nccc(C(=O)N2CCCC(c3noc(C(C)C)n3)C2)n1	Z1079907366
Cc1nc(C(=O)N2CCCC(c3noc(C(C)C)n3)C2)ccc1C#N	Z1079908886
CC(O)CN1CCN(C(=O)c2cccc(N3CCNC3=O)c2)CC1	Z1139360464
CN1CCC[C@@H](CNC(=O)c2cc[nH]c2C2CC2)[C@@H]1c1ccnn1C	Z2062260130
COc1ccccc1N1CCC(NC(=O)NCC(F)(F)CO)CC1	Z1701839708
Cc1cnn(CCNC(=O)[C@@H]2CCCO[C@H]2c2ccnn2C)c1	Z2055269730
CCn1ccnc1C(NC(=O)c1cc(C)n[nH]1)C1CCOCC1	Z2060513884
Cc1c(C(=O)NCc2ccccc2)nnn1-c1cccc2c1CCN(C1CCOCC1)C2	Z1170370165
CCOCC(O)CN1CCN(C(=O)c2ccc(O)nc2)CC1	Z1143014807
O=C(NCc1ccc(OC(F)F)cc1)c1cccnc1Oc1ccccc1	Z67659051
CC(C)c1nc(C2CCCN(C(=O)c3cc[nH]n3)C2)no1	Z1079908476
CCCOc1ccc(CNC(=O)c2ccccc2OC(F)F)cc1	Z510373196
O=C(CCc1c(F)cccc1F)N1CCN(C2CCCC2O)CC1	Z1143006755
COCCn1ccc(C(=O)N[C@@H]2CC(=O)N(C)[C@H]2c2ccnn2C)n1	Z2061925305
CCC(C(=O)O)N(C)Cc1ccccc1N1CCOCC1	Z1838186809
COc1ncccc1C(=O)N[C@@H]1CCC(=O)N(C)[C@H]1c1ccnn1C	Z2062068269
Nc1ncncc1C(=O)NCC1(c2ccccc2)CC1	Z1867288224
CCNC(=O)N1CCc2c(cccc2-n2nnc(C(=O)NC(C)C)c2C)C1	Z1165359966
Cc1[nH]nc2ncc(C(=O)N3CCN(CC(C)(C)O)CC3)cc12	Z1143009729
CC1CC1C(=O)Nc1cccc(C(=O)Nc2nnn[nH]2)c1	Z1097408702
CC(C)c1noc(CCC(=O)N2CCN(C3CCCC3O)CC2)n1	Z1143003990
CCCC(=O)N1CCN(C2CCCC2O)CC1	Z1143005670
Cc1noc(Cl)c1CCC(=O)N1CCN(C2CCCC2O)CC1	Z1143002031
Cc1nc(C(=O)NC[C@@H]2CCCN(C)[C@H]2c2ccnn2C)c(=O)[nH]c1C	Z2062243546
O=C(c1ccc([N+](=O)[O-])cc1O)N1CCC(Cc2cccnc2)CC1	Z1727523084
CN1C(=O)CC[C@@H](NC(=O)c2cc(Cl)c[nH]2)[C@@H]1c1ccnn1C	Z2062075931
Cc1n[nH]c2cc(NC(=O)C3CCCCN3S(=O)(=O)c3ccccc3)ccc12	Z1571962846
CNC(=O)C(C)NC(=O)Cn1cnnn1	Z740288644
O=C(NCCSc1ccccc1)c1ccc(-n2cncn2)c([N+](=O)[O-])c1	Z91150538
CC(C)c1noc2ncc(-c3nnc(C4CC4)o3)cc12	Z1170449879
Cn1cc(CC(=O)N2CCN(C3CCCC3O)CC2)c2ccccc21	Z1143006233
O=C(Cc1ccccc1F)N1CCN(C2CCCC2O)CC1	Z1143003611
CC1Oc2c(cccc2C(=O)N2CCCC(n3cncn3)C2)NC1=O	Z1139342215
CN1C(=O)C[C@@H](NC(=O)c2ccon2)[C@@H]1c1ccnn1C	Z2061939497
CCC(C(=O)O)N1CCCC(C(=O)Nc2ccccc2)C1.Cl	Z1838181375
CN1CCO[C@@H]2CN(C(=O)c3cc(-c4ccccc4Cl)[nH]n3)C[C@@H]21	Z2168026685
O=C(Nc1cnc(C2CC2)nc1)N1CCN(c2ccccc2Cl)CC1	Z1104796039
CCNC(=O)N1CCc2c(cccc2-n2nnc(C(=O)NCC(C)C)c2C)C1	Z1165362428
Fc1ccc(-c2nnc(-c3cnc4onc(-c5ccccc5)c4c3)o2)cc1	Z685592382
Cc1cc(C(=O)N2CCN(CC(C)O)CC2)ccc1N1CCNC1=O	Z1139360941
Cc1cc(NC(=O)CN2CCn3c(nnc3C3CC3)C2)on1	Z1142755119
Cc1nc(C2CCCN(C(=O)c3ccc4c(c3)nnn4C)C2)no1	Z1124113414
O=C(c1cc[nH]n1)N1CCC(Nc2cccnn2)CC1	Z1139265484
