smiles	idnumber
Cc1ccc(N2CCCC2CO)nn1	Z1262395901
CC(=O)OCCOCn1cnc2c(=O)[nH]c(N)nc21	Z2025567901
Nc1nccc(N2CCC(O)C2)n1	Z3079500593
Cl.O=C(O)C1CC(O)CN1c1ncnc2nc[nH]c12	Z3915020013
Cl.Cl.OC1(CN2CCC(Oc3cccc(C(F)(F)F)c3)CC2)CCNC1	Z3052952334
O=c1[nH]c(=O)n(C2CCCO2)cc1F	Z199538160
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	Z1741978458
Cl.Cl.OC1(Cn2ccnn2)CCNC1	Z2492774581
Cl.Nc1cccc(C(=O)N2CCCC2CO)n1	Z1263820433
Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1	Z1522566611
CCN(Cc1nnc(C)o1)C1CNC[C@H]1O.Cl.Cl	Z3900516277
OCC1(CO)CC(n2cnc3c(N4CCOC(COCC5CC5)C4)ncnc32)C1	Z2760963802
NC(=O)CC1COCCN1c1ncnc2c1ncn2C1CC(CO)(CO)C1	Z2760975846
CC1CC(C(F)(F)F)CCN1c1ncnc2c1ncn2CC1(CO)CCOCC1	Z2760971405
O=C(CN(c1ncnc2c1ncn2CC(CO)C1CCOC1)C1CC1)NC1CC1	Z2760942310
CC(C)CC1C(=O)NCCN1c1ncnc2c1ncn2C1CC(CO)(CO)C1	Z2760963619
CC(O)CN1CCN(c2ncnc3c2ncn3CC2(CO)COC2)C(C)C1	Z2760964833
N#CCC(=O)N1CCN(c2ncnc3c2ncn3C2CC(CO)(CO)C2)CC1	Z2760954288
CC(C)CN(c1ncnc2c1ncn2CC1(O)CCOC1C)C1CCN(C)CC1	Z2760944277
COCCN1CCN(c2ncnc3c2ncn3C2CC(CO)(CO)C2)CC1C	Z2760946985
CC(=O)N1CCC(CN(C)c2ncnc3c2ncn3CC(O)C2CCCO2)C1	Z2760955962
O=C1CC2(CCN(c3ncnc4c3ncn4C3CC(CO)(CO)C3)C2)CN1	Z2760966931
CCN(c1ncnc2c1ncn2CC1(CO)CCOCC1)C1CCOC(C)(C)C1	Z2760973376
OCC1(Cn2cnc3c(N4CC5CCC(O)CC5C4)ncnc32)COC1	Z2760976308
CCC(CC)CN(CCC#N)c1ncnc2c1ncn2CC(O)C1CCCO1	Z2760944633
CN1C(=O)NCC12CCN(c1ncnc3c1ncn3CC1(O)CCOCC1)CC2	Z2760976396
CCN(c1ncnc2c1ncn2CC1(O)CCOC1)C(C)CS(=O)(=O)CC	Z2760947351
CN(CCC1CCCCN1C)c1ncnc2c1ncn2CC1(CO)CCOCC1	Z2760950516
COCC1CN(c2ncnc3c2ncn3CC(CO)C2CCOC2)CC(C)(C)O1	Z2760968901
CCN1CCC(N(C)c2ncnc3c2ncn3C2CC(CO)(CO)C2)C(C)C1	Z2760948961
CN(CC(C)(CO)CO)c1ncnc2c1ncn2CC1(O)CCOC1	Z2760959682
COc1ccc(C)cc1C(C)NC(=O)Cn1c(=O)c(F)cn(C2CCCO2)c1=O	Z278136686
O=c1c(F)cn(C2CCCO2)c(=O)n1Cc1ccc2ccccc2n1	Z107297130
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)Nc1ccc2c(c1)OCO2	Z94556663
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)NCc1ccc2c(c1)OCO2	Z107295544
